Code,Description,ReferenceManufactures,productcode,ProductGUID,bodega_origen,bodega_destino,periodos_consignacion,periodos_sin_asignar,cantidad_disponible,cantidad_negativa,cantidad_a_trasladar,cantidad_pendiente,estado
VI-SH-BR-AM-SE-04,SHOT BRUMA AMBAR SET X 4,ZORRO Y JAGUAR,62949,cb5dc7ad-6f2c-4e4e-8df6-330987dbe5bc,CONSIG01 - Inventario en consignación,Sin asignar,202502,202603,1.0,1.0,1.0,0.0,completo
VI-SH-BR-ES-SE-04,SHOT BRUMA ESMERALDA SET X 4,ZORRO Y JAGUAR,77313,accfbccc-c027-4bd9-9bc0-9088adf14b4a,CONSIG01 - Inventario en consignación,Sin asignar,202502,202603,3.0,3.0,3.0,0.0,completo
VI-SH-BR-NA-SE-04,SHOT BRUMA NATURAL SET X4,ZORRO Y JAGUAR,62950,58169edb-b7b6-4dcd-9f09-596c275725bd,CONSIG01 - Inventario en consignación,Sin asignar,202505,202603,3.0,1.0,1.0,0.0,completo
VI-VA-BR-AM-SE-04,VASO BRUMA AMBAR SET X4,ZORRO Y JAGUAR,23485,9cf5771c-60a5-4117-88b5-6bb250973bb4,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,4.0,1.0,1.0,0.0,completo
VM08U,Vestido Mahal Mocca,PI AND GAMA,150369,2e21513f-cd1f-4681-b4a2-d02b4134adc4,CONSIG01 - Inventario en consignación,Sin asignar,202602,202603,1.0,1.0,1.0,0.0,completo
azuredl,CAMISETA NAVAL CUELLO REDONDO CON BOLSILLO L,LUCK&LOAD,127519,354bdf1c-18cc-44be-be1f-83a6685ded9f,CONSIG01 - Inventario en consignación,Sin asignar,202512,202601,2.0,1.0,1.0,0.0,completo
blaredl,CAMISETA BLANCA CUELLO REDONDO CON BOLSILLO L,LUCK&LOAD,127522,13b1cfca-e0ed-4a95-8f10-ca105aeeff27,CONSIG01 - Inventario en consignación,Sin asignar,202510,202602,1.0,1.0,1.0,0.0,completo
camhon250,CAMINO HONEY BEE 250*67,ABITA,139680,5f5e4b40-70e4-4577-b985-6a9ed06dc79b,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,1.0,1.0,1.0,0.0,completo
cojraf,COJIN RAFIA,MATILDE LONDOÑO,127590,32be4720-3a73-4d7d-a55f-26dcd4207edf,CONSIG01 - Inventario en consignación,Sin asignar,202512,202603,3.0,1.0,1.0,0.0,completo
denverl,CHAQUETA OBRERA VERDE MILITAR L,LUCK&LOAD,128171,7d663cdc-fe4c-479f-a688-4f65c5ccee8d,CONSIG01 - Inventario en consignación,Sin asignar,202512,202602,2.0,2.0,2.0,0.0,completo
detcaml,CHAQUETA DETROIT CAMEL L,LUCK&LOAD,127547,30554442-0b9d-4699-8a3a-b9c09a0554ee,CONSIG01 - Inventario en consignación,Sin asignar,202510,202601,1.0,1.0,1.0,0.0,completo
detcamm,CHAQUETA DETROIT CAMEL M,LUCK&LOAD,127551,ae34a4fe-a2f7-4838-97cd-04b6c38e7f49,CONSIG01 - Inventario en consignación,Sin asignar,202512,202601,3.0,3.0,3.0,0.0,completo
detcamxl,CHAQUETA DETROIT CAMEL XL,LUCK&LOAD,127553,2e839010-a330-4bf5-b3c9-d4e79ed1b8f6,CONSIG01 - Inventario en consignación,Sin asignar,202512,202601,3.0,2.0,2.0,0.0,completo
detnegl,CHAQUETA DETROIT NEGRA L,LUCK&LOAD,127554,98168331-7844-4c90-a82b-e37bbb986d7b,CONSIG01 - Inventario en consignación,Sin asignar,202512,202601,2.0,1.0,1.0,0.0,completo
detverm,CHAQUETA DETROIT VERDE M,LUCK&LOAD,127557,44cdd15d-1b89-449a-b037-473ddabe190a,CONSIG01 - Inventario en consignación,Sin asignar,202512,202601,2.0,2.0,2.0,0.0,completo
griredl,CAMISETA GRIS CUELLO REDONDO CON BOLSILLO L,LUCK&LOAD,127559,cefcdbcf-b03d-4c4f-90ec-a94bdb87992c,CONSIG01 - Inventario en consignación,Sin asignar,202512,202602,2.0,2.0,2.0,0.0,completo
